local_timestamp,datetime,node_id,pm_pct_fs,epoch,julian_day,CO2_QC_level,PM_QC_level,CO2_ppm,PM_ug/m3
2017-11-19 18:00:00,2017-11-20 02:00:00,56,0.14461,1511143200.0,324.0833333333333,1a,2,447.7,3.170325299999999
2017-11-19 19:00:00,2017-11-20 03:00:00,56,0.1295,1511146800.0,324.125,1a,2,444.7,2.8847462999999998
2017-11-19 20:00:00,2017-11-20 04:00:00,56,0.17169,1511150400.0,324.1666666666667,1a,2,437.5,3.6821373
2017-11-19 21:00:00,2017-11-20 05:00:00,56,0.18,1511154000.0,324.2083333333333,1a,2,435.2,3.8391962999999993
2017-11-19 22:00:00,2017-11-20 06:00:00,56,0.1978,1511157600.0,324.25,1a,2,437.0,4.1756163
2017-11-19 23:00:00,2017-11-20 07:00:00,56,0.10038,1511161200.0,324.2916666666667,1a,2,428.5,2.3343782999999996
2017-11-20 00:00:00,2017-11-20 08:00:00,56,0.15014,1511164800.0,324.3333333333333,1a,2,447.7,3.2748422999999995
2017-11-20 01:00:00,2017-11-20 09:00:00,56,0.15759,1511168400.0,324.375,1a,2,459.8,3.4156473
2017-11-20 02:00:00,2017-11-20 10:00:00,56,0.14044,1511172000.0,324.4166666666667,1a,2,447.9,3.0915122999999998
2017-11-20 03:00:00,2017-11-20 11:00:00,56,0.17509,1511175600.0,324.4583333333333,1a,2,432.0,3.7463973
2017-11-20 04:00:00,2017-11-20 12:00:00,56,0.20625,1511179200.0,324.5,1a,2,439.5,4.3353212999999995
2017-11-20 05:00:00,2017-11-20 13:00:00,56,0.14433,1511182800.0,324.5416666666667,1a,2,431.9,3.1650333
2017-11-20 06:00:00,2017-11-20 14:00:00,56,0.14162,1511186400.0,324.5833333333333,1,2,-999,3.1138142999999996
2017-11-20 07:00:00,2017-11-20 15:00:00,56,0.09061,1511190000.0,324.625,1a,2,426.3,2.1497252999999996
2017-11-20 08:00:00,2017-11-20 16:00:00,56,0.17827,1511193600.0,324.6666666666667,1a,2,455.0,3.8064992999999996
2017-11-20 09:00:00,2017-11-20 17:00:00,56,0.25155,1511197200.0,324.7083333333333,1a,2,476.2,5.1914913
2017-11-20 10:00:00,2017-11-20 18:00:00,56,0.24608,1511200800.0,324.75,1a,2,454.2,5.0881083
2017-11-20 11:00:00,2017-11-20 19:00:00,56,0.14775,1511204400.0,324.7916666666667,1,2,-999,3.2296712999999997
2017-11-20 12:00:00,2017-11-20 20:00:00,56,0.28347,1511208000.0,324.8333333333333,1a,2,486.6,5.7947793
2017-11-20 13:00:00,2017-11-20 21:00:00,56,0.23615,1511211600.0,324.875,1a,2,460.8,4.9004313
2017-11-20 14:00:00,2017-11-20 22:00:00,56,0.11896,1511215200.0,324.9166666666667,1a,2,440.8,2.6855402999999995
2017-11-20 15:00:00,2017-11-20 23:00:00,56,0.1251,1511218800.0,324.9583333333333,1a,2,428.5,2.8015862999999994
2017-11-20 16:00:00,2017-11-21 00:00:00,56,0.12736,1511222400.0,325.0,1a,2,440.4,2.8443002999999996
2017-11-20 17:00:00,2017-11-21 01:00:00,56,0.09193,1511226000.0,325.0416666666667,1,2,-999,2.1746733
2017-11-20 18:00:00,2017-11-21 02:00:00,56,0.11152,1511229600.0,325.0833333333333,1a,2,443.8,2.5449243
2017-11-20 19:00:00,2017-11-21 03:00:00,56,0.18625,1511233200.0,325.125,1a,2,461.8,3.9573212999999994
2017-11-20 20:00:00,2017-11-21 04:00:00,56,0.13143,1511236800.0,325.1666666666667,1a,2,462.8,2.9212232999999994
2017-11-20 21:00:00,2017-11-21 05:00:00,56,0.13779,1511240400.0,325.2083333333333,1a,2,455.7,3.0414272999999996
2017-11-20 22:00:00,2017-11-21 06:00:00,56,0.13898,1511244000.0,325.25,1a,2,464.3,3.063918299999999
2017-11-20 23:00:00,2017-11-21 07:00:00,56,0.11161,1511247600.0,325.2916666666667,1a,2,450.1,2.5466252999999996
2017-11-21 00:00:00,2017-11-21 08:00:00,56,0.19212,1511251200.0,325.3333333333333,1a,2,447.6,4.0682643
2017-11-21 01:00:00,2017-11-21 09:00:00,56,0.22453,1511254800.0,325.375,1,2,-999,4.6808133
2017-11-21 02:00:00,2017-11-21 10:00:00,56,0.20853,1511258400.0,325.4166666666667,1a,2,440.0,4.378413299999999
2017-11-21 03:00:00,2017-11-21 11:00:00,56,0.18374,1511262000.0,325.4583333333333,1a,2,451.6,3.9098822999999996
